Coal Plant/Lignite power plants ,Installed power  MW ,phase,Coal MW replaced( demand),Solar MW(generation capacity),Wind MW(generation capacity),Panels needed,Turbines Needed,Solar PV (€/MWh),Wind (€/MWh)
Heyeden 4,875,1,218,1670,780,4200000,260,95.5,47.4
Heyeden 4,875,2,437,3340,1560,8400000,520,95.5,47.4
Heyeden 4,875,3,218,1670,780,4200000,260,95.5,47.4
Lage Generator 2,4.08,1,2.04,15.7,7.3,39000,3,95.5,47.4
Lage Generator 2,4.08,2,2.04,15.7,7.3,39000,3,95.5,47.4
Bergkamen A,720,1,180,1380,640,3500000,215,95.5,47.4
Bergkamen A,720,2,360,2760,1280,7000000,430,95.5,47.4
Bergkamen A,720,3,180,1380,640,3500000,215,95.5,47.4
SSW-VT,6.14,1,3.07,23.6,10.96,59000,4,95.5,47.4
SSW-VT,6.14,2,3.07,23.6,10.96,59000,4,95.5,47.4
BVI-NT,5.79,1,2.9,22.3,10.35,55750,4,95.5,47.4
BVI-NT,5.79,2,2.89,22.2,10.35,55500,4,95.5,47.4
SSW-NT,6.14,1,3.07,23.6,10.96,59000,4,95.5,47.4
SSW-NT,6.14,2,3.07,23.6,10.96,59000,4,95.5,47.4
 Trianel Kohlekraftwerk Lünen,746,1,186.5,"1,425",622,3600000,207,95.5,47.4
 Trianel Kohlekraftwerk Lünen,746,2,373,"2,850","1,244",7100000,415,95.5,47.4
 Trianel Kohlekraftwerk Lünen,746,3,186.5,"1,425",622,3600000,207,95.5,47.4
Datteln 4,1052,1,263,"2,010",941,5000000,314,95.5,47.4
Datteln 4,1052,2,526,"4,020",1882,10000000,628,95.5,47.4
Datteln 4,1052,3,263,"2,010",941,5000000,314,95.5,47.4
Herne 4,460,1,115,885,410,2200000,137,95.5,47.4
Herne 4,460,2,230,"1,770",820,4400000,273,95.5,47.4
Herne 4,460,3,115,885,410,2200000,137,95.5,47.4
Scholven B,460,1,115,885,410,2200000,137,95.5,47.4
Scholven B,460,2,230,"1,770",820,4400000,273,95.5,47.4
Scholven B,460,3,115,885,410,2200000,137,95.5,47.4
Scholven C,345,1,86.25,660,308,1650000,103,95.5,47.4
Scholven C,345,2,172.5,"1,320",616,3300000,205,95.5,47.4
Scholven C,345,3,86.25,660,308,1650000,103,95.5,47.4
Walsum 10,725,1,181.25,"1,395",624,3500000,208,95.5,47.4
Walsum 10,725,2,362.5,"2,790",1248,7000000,416,95.5,47.4
Walsum 10,725,3,181.25,"1,395",624,3500000,208,95.5,47.4
Solvay Rb TA7,12.8,1,6.4,49,22.8,122500,8,95.5,47.4
Solvay Rb TA7,12.8,2,6.4,49,22.8,122500,8,95.5,47.4
Solvay Rb TA8,15.94,1,7.97,61,28.5,152500,10,95.5,47.4
Solvay Rb TA8,15.94,2,7.97,61,28.5,152500,10,95.5,47.4
Solvay Rb TA 9,27.2,1,13.6,104,48.5,260000,16,95.5,47.4
Solvay Rb TA 9,27.2,2,13.6,104,48.5,260000,16,95.5,47.4
Solvay Rb TA 10 ,27.2,1,13.6,104,48.5,260000,16,95.5,47.4
Solvay Rb TA 10 ,27.2,2,13.6,104,48.5,260000,16,95.5,47.4
UER N230 VST2,8.2,1,4.1,31.5,14.6,78750,5,95.5,47.4
UER N230 VST2,8.2,2,4.1,31.5,14.6,78750,5,95.5,47.4
UER L57 M1,17.1,1,8.55,65.7,30.5,164250,10,95.5,47.4
UER L57 M1,17.1,2,8.55,65.7,30.5,164250,10,95.5,47.4
UER L57 M3,7.23,1,3.62,27.8,12.9,69500,5,95.5,47.4
UER L57 M3,7.23,2,3.62,27.8,12.9,69500,5,95.5,47.4
UER N230 NST2,15.2,1,7.6,58.5,27.1,146250,9,95.5,47.4
UER N230 NST2,15.2,2,7.6,58.5,27.1,146250,9,95.5,47.4
UER N230 VST1,6.5,1,3.25,25,11.6,62500,4,95.5,47.4
UER N230 VST1,6.5,2,3.25,25,11.6,62500,4,95.5,47.4
LEV KWG G23,5.48,1,2.74,21,9.8,52500,3,95.5,47.4
LEV KWG G23,5.48,2,2.74,21,9.8,52500,3,95.5,47.4
LEV KWG G02,8.23,1,4.12,31.7,14.7,79250,5,95.5,47.4
LEV KWG G02,8.23,2,4.12,31.7,14.7,79250,5,95.5,47.4
LEV KWG G11,19.24,1,9.62,73.9,34.4,184750,12,95.5,47.4
LEV KWG G11,19.24,2,9.62,73.9,34.4,184750,12,95.5,47.4
LEV KWG G12,17.24,1,8.62,66.3,30.8,165750,10,95.5,47.4
LEV KWG G12,17.24,2,8.62,66.3,30.8,165750,10,95.5,47.4
LEV KWG G21,12.67,1,6.34,48.8,22.7,122000,8,95.5,47.4
LEV KWG G21,12.67,2,6.34,48.8,22.7,122000,8,95.5,47.4
LEV KWG G22,12.67,1,6.34,48.8,22.7,122000,8,95.5,47.4
LEV KWG G22,12.67,2,6.34,48.8,22.7,122000,8,95.5,47.4
Block 6 Merkenich RheinEnergie,75.3,1,37.65,287.6,133.8,719000,9,95.5,47.4
Block 6 Merkenich RheinEnergie,75.3,2,37.65,287.6,133.8,719000,9,95.5,47.4
Neurath F,1060,1,353.3,"2,696",1248,6740000,118,95.5,47.4
Neurath F,1060,2,353.3,"2,696",1248,6740000,118,95.5,47.4
Neurath F,1060,3,353.4,2696,1248,6740000,118,95.5,47.4
Neurath G,1060,1,353.3,"2,696",1248,6740000,118,95.5,47.4
Neurath G,1060,2,353.3,"2,696",1248,6740000,118,95.5,47.4
Neurath G,1060,3,353.4,2696,1248,6740000,118,95.5,47.4
Fab Fortuna,15,1,7.5,57.3,26.4,143000,2,95.5,47.4
Fab Fortuna,15,2,7.5,57.3,26.4,143000,2,95.5,47.4
Niederaußem K,944,1,314.7,2400,1110,6000000,105,95.5,47.4
Niederaußem K,944,2,314.7,2400,1110,6000000,105,95.5,47.4
Niederaußem K,944,3,314.6,2400,1110,6000000,105,95.5,47.4
Niederaußem G,628,1,209.3,1600,740,4000000,70,95.5,47.4
Niederaußem G,628,2,209.3,1600,740,4000000,70,95.5,47.4
Niederaußem G,628,3,209.4,1600,740,4000000,70,95.5,47.4
Niederaußem H,648,1,216,1640,760,4100000,75,95.5,47.4
Niederaußem H,648,2,216,1640,760,4100000,75,95.5,47.4
Niederaußem H,648,3,216,1640,760,4100000,75,95.5,47.4
KWK Generator 2,9.9,1,4.95,37.8,17.5,94500,1,95.5,47.4
KWK Generator 2,9.9,2,4.95,37.8,17.5,94500,1,95.5,47.4
Fab Frechen,56,1,28,214,99,540000,6,95.5,47.4
Fab Frechen,56,2,28,214,99,540000,6,95.5,47.4
GoWerk F,63,1,31.5,241,112,610000,7,95.5,47.4
GoWerk F,63,2,31.5,241,112,610000,7,95.5,47.4
Fab Berrenrath,98,1,49,375,174,950000,11,95.5,47.4
Fab Berrenrath,98,2,49,375,174,950000,11,95.5,47.4
Weisweiler F,321,1,160.5,1230,570,3.1,36,95.5,47.4
Weisweiler F,321,2,160.5,1230,570,3.1,36,95.5,47.4
Weisweiler G,663,1,221,1690,790,4.2,50,95.5,47.4
Weisweiler G,663,2,221,1690,790,4.2,50,95.5,47.4
Weisweiler G,663,3,221,1690,790,4.2,50,95.5,47.4
